dataset,method,n,llm_hit_rate,input_gt_top1_rate,input_gt_top3_rate,input_gt_mrr,input_gt_rank_mean,input_gt_margin_vs_best_neg_mean,pred_is_input_semantic_top1_rate,pred_input_rank_mean,pred_to_gt_sim_mean,pred_to_other_candidate_sim_max_mean,pred_margin_vs_best_other_candidate_mean,split,input_gt_sim_mean,input_neg_sim_mean,input_neg_sim_max_mean,input_gt_margin_vs_neg_mean_mean,pred_to_other_candidate_sim_mean,pairmean_gt_top1_rate,pairmean_gt_rank_mean,pairmean_gt_margin_vs_best_neg_mean,pairmax_gt_top1_rate,pairmax_gt_rank_mean,pairmax_gt_margin_vs_best_neg_mean,gt_to_distractor_sim_mean,gt_to_distractor_sim_max_mean,result_csv,detail_path,summary_path,num_items,num_bundles,num_train_bundles,train_bundle_size_mean,train_bundle_size_median,train_bundle_size_max,train_active_items,train_item_coverage,train_item_freq_mean,train_item_freq_median,train_item_freq_max,cooc_all_shared_mean,cooc_all_denom_mean,cooc_all_zero_denom_rate,cooc_true_shared_mean,cooc_true_denom_mean,cooc_true_zero_denom_rate,cooc_shared_top1_rate,cooc_ratio_top1_rate,cooc_candidate_positive_rate,cooc_true_positive_rate
pog,base,250,0.328,0.184,0.408,0.37768888888888885,4.764,-0.16654073086380958,0.144,5.124,0.33588354689255356,0.24531923180818557,0.09056431508436799,all,0.0957861322015524,-0.003995532661676407,0.26232686306536196,0.09978166467696428,-0.0017224426860921085,0.184,4.764,-0.1423845914900303,0.196,4.708,-0.15553036017715932,-8.237876603379846e-05,0.25568915509432555,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\results\pog\results_pog_20260416_142034.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog\results_pog_20260416_142034_bi_lgcn_detail.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog\results_pog_20260416_142034_bi_lgcn_summary.csv,48676,20000,14000,3.616,4.0,5,36503,0.7499178239789629,1.3868449168561487,1.0,75,,,,,,,,,,
pog,IBxBI_item_desc,250,0.296,0.184,0.408,0.37768888888888885,4.764,-0.16654073086380958,0.152,5.084,0.299408602938056,0.2501222400069237,0.04928636293113232,all,0.0957861322015524,-0.003995532661676407,0.26232686306536196,0.09978166467696428,-2.9573114588856697e-05,0.184,4.764,-0.1423845914900303,0.196,4.708,-0.15553036017715932,-8.237876603379846e-05,0.25568915509432555,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\results\pog\results_pog_USER_ITEMAFF_HN_C10_T5_20260512_135419.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog\results_pog_USER_ITEMAFF_HN_C10_T5_20260512_135419_bi_lgcn_detail.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog\results_pog_USER_ITEMAFF_HN_C10_T5_20260512_135419_bi_lgcn_summary.csv,48676,20000,14000,3.616,4.0,5,36503,0.7499178239789629,1.3868449168561487,1.0,75,,,,,,,,,,
pog,IUxUI_item_desc,250,0.252,0.184,0.408,0.37768888888888885,4.764,-0.16654073086380958,0.132,5.06,0.25261258425563576,0.2444463124871254,0.008166271768510341,all,0.0957861322015524,-0.003995532661676407,0.26232686306536196,0.09978166467696428,0.004376405783841619,0.184,4.764,-0.1423845914900303,0.196,4.708,-0.15553036017715932,-8.237876603379846e-05,0.25568915509432555,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\results\pog\results_pog_USERPUR_HN_C10_T5_20260512_141640.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog\results_pog_USERPUR_HN_C10_T5_20260512_141640_bi_lgcn_detail.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog\results_pog_USERPUR_HN_C10_T5_20260512_141640_bi_lgcn_summary.csv,48676,20000,14000,3.616,4.0,5,36503,0.7499178239789629,1.3868449168561487,1.0,75,,,,,,,,,,
pog,BIxIB_bundle_context,250,0.324,0.184,0.408,0.37768888888888885,4.764,-0.16654073086380958,0.128,5.216,0.3271028018705547,0.23591588892042636,0.09118691295012832,all,0.0957861322015524,-0.003995532661676407,0.26232686306536196,0.09978166467696428,-0.0019740173429017888,0.184,4.764,-0.1423845914900303,0.196,4.708,-0.15553036017715932,-8.237876603379846e-05,0.25568915509432555,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\results\pog\results_pog_BGRAPH_HN_C10_T5_20260512_164752.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog\results_pog_BGRAPH_HN_C10_T5_20260512_164752_bi_lgcn_detail.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog\results_pog_BGRAPH_HN_C10_T5_20260512_164752_bi_lgcn_summary.csv,48676,20000,14000,3.616,4.0,5,36503,0.7499178239789629,1.3868449168561487,1.0,75,,,,,,,,,,
pog,co_occur,250,0.34,0.184,0.408,0.37768888888888885,4.764,-0.16654073086380958,0.16,5.172,0.3323062654994428,0.2604984031915665,0.07180786230787635,all,0.0957861322015524,-0.003995532661676407,0.26232686306536196,0.09978166467696428,-0.0018237072298070416,0.184,4.764,-0.1423845914900303,0.196,4.708,-0.15553036017715932,-8.237876603379846e-05,0.25568915509432555,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\results\pog\results_pog_COOC_HN_C10_T5_20260512_170847.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog\results_pog_COOC_HN_C10_T5_20260512_170847_bi_lgcn_detail.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog\results_pog_COOC_HN_C10_T5_20260512_170847_bi_lgcn_summary.csv,48676,20000,14000,3.616,4.0,5,36503,0.7499178239789629,1.3868449168561487,1.0,75,0.006,1.15,0.2804,0.06,1.568,0.592,0.132,0.132,0.0048000000000000004,0.048
pog_dense,base,250,0.336,0.368,0.676,0.5613571428571429,3.048,-0.24540646344423295,0.2,4.528,0.4012289791703224,0.8900055587142706,-0.48877657954394815,all,0.5863565132915973,-0.03333372085168958,0.8317629764676094,0.6196902355924249,0.0054382060496136544,0.368,3.048,-0.18260616317391395,0.468,2.884,-0.17164057743549346,-0.026880432933336123,0.8845488558858633,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\results\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343_bi_lgcn_detail.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog_dense\results_pog_dense_HN_C10_T5_20260430_172343_bi_lgcn_summary.csv,31217,29686,20780,3.56665062560154,3.0,7,24431,0.7826184450780024,3.0336457779051207,1.0,3221,,,,,,,,,,
pog_dense,IBxBI_item_desc,250,0.388,0.368,0.676,0.5613571428571429,3.048,-0.24540646344423295,0.296,3.532,0.567278697885573,0.9153611948341132,-0.3480824969485402,all,0.5863565132915973,-0.03333372085168958,0.8317629764676094,0.6196902355924249,0.01292648064158857,0.368,3.048,-0.18260616317391395,0.468,2.884,-0.17164057743549346,-0.026880432933336123,0.8845488558858633,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\results\pog_dense\results_pog_dense_USER_ITEMAFF_HN_C10_T5_20260512_135517.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog_dense\results_pog_dense_USER_ITEMAFF_HN_C10_T5_20260512_135517_bi_lgcn_detail.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog_dense\results_pog_dense_USER_ITEMAFF_HN_C10_T5_20260512_135517_bi_lgcn_summary.csv,31217,29686,20780,3.56665062560154,3.0,7,24431,0.7826184450780024,3.0336457779051207,1.0,3221,,,,,,,,,,
pog_dense,IUxUI_item_desc,250,0.228,0.368,0.676,0.5613571428571429,3.048,-0.24540646344423295,0.152,4.772,0.31156403793394566,0.8908210145533085,-0.5792569766193628,all,0.5863565132915973,-0.03333372085168958,0.8317629764676094,0.6196902355924249,0.008450433191843331,0.368,3.048,-0.18260616317391395,0.468,2.884,-0.17164057743549346,-0.026880432933336123,0.8845488558858633,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\results\pog_dense\results_pog_dense_USERPUR_HN_C10_T5_20260512_141345.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog_dense\results_pog_dense_USERPUR_HN_C10_T5_20260512_141345_bi_lgcn_detail.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog_dense\results_pog_dense_USERPUR_HN_C10_T5_20260512_141345_bi_lgcn_summary.csv,31217,29686,20780,3.56665062560154,3.0,7,24431,0.7826184450780024,3.0336457779051207,1.0,3221,,,,,,,,,,
pog_dense,BIxIB_bundle_context,250,0.452,0.368,0.676,0.5613571428571429,3.048,-0.24540646344423295,0.272,4.124,0.45892074044048786,0.8989119528383016,-0.4399912123978138,all,0.5863565132915973,-0.03333372085168958,0.8317629764676094,0.6196902355924249,-0.014802248102612794,0.368,3.048,-0.18260616317391395,0.468,2.884,-0.17164057743549346,-0.026880432933336123,0.8845488558858633,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\results\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260512_164908.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260512_164908_bi_lgcn_detail.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog_dense\results_pog_dense_BGRAPH_HN_C10_T5_20260512_164908_bi_lgcn_summary.csv,31217,29686,20780,3.56665062560154,3.0,7,24431,0.7826184450780024,3.0336457779051207,1.0,3221,,,,,,,,,,
pog_dense,co_occur,250,0.576,0.368,0.676,0.5613571428571429,3.048,-0.24540646344423295,0.312,3.304,0.6177963567376137,0.9115727082341909,-0.29377635149657727,all,0.5863565132915973,-0.03333372085168958,0.8317629764676094,0.6196902355924249,-0.008299205832183361,0.368,3.048,-0.18260616317391395,0.468,2.884,-0.17164057743549346,-0.026880432933336123,0.8845488558858633,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\results\pog_dense\results_pog_dense_COOC_HN_C10_T5_20260512_170906.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog_dense\results_pog_dense_COOC_HN_C10_T5_20260512_170906_bi_lgcn_detail.csv,C:\Users\wotjs\Desktop\bundle\LLM-ZeroShot\analysis\bi_lgcn_experiment_signal\bi_lgcn\pog_dense\results_pog_dense_COOC_HN_C10_T5_20260512_170906_bi_lgcn_summary.csv,31217,29686,20780,3.56665062560154,3.0,7,24431,0.7826184450780024,3.0336457779051207,1.0,3221,0.4592,32.168,0.2208,3.856,304.04,0.236,0.48,0.408,0.10360000000000001,0.512
