category_id,item_count,mean_embedding_norm
664162d351ab59ea042546db288bbf7c,5433,0.767960250377655
126c091a8ff171f694733a624089e68a,4751,0.7278752326965332
2450d5bfc87a1f5b96e2837f5c87a70c,3002,0.7250288128852844
a6cd655d1645f38869be793d5fb194cb,2514,0.7645354270935059
b608ccb44928992e75009892971acd46,2373,0.7540708184242249
852a581f78e4f4d7ecf9972a038e440c,2347,0.7865572571754456
3e600277f4bf92983bf6fcb0ac09e0d7,2301,0.7335415482521057
fc528592c3858f90196fbfacc814f235,2035,0.7430272102355957
95c3a26ab13f3ec5cd28a281e3685e7b,1665,0.773591935634613
03bfc1d4783966c69cc6aef8247e0103,1451,0.7380760908126831
46eacb79120159c0d446c08e1f671b0f,1360,0.7504939436912537
8476c833956c74092868c24514562b0b,1300,0.7640427350997925
bc11aa63d5a69b1b0f90c34fd2c62102,1180,0.7450708746910095
022ab423f035b47ac0af5046c51ed093,1163,0.7565382719039917
6eb82f81b7105a1112fec1bb3c8dd62b,1127,0.7492077350616455
c6ba1690407cbd175f036694488a914e,1044,0.7510671019554138
3afab60a60abe737c6b12772e0fcec0a,967,0.7555809020996094
08734b0d499542a3a0ae060fb5597d09,924,0.7424061894416809
de802e3a05e11e88ddd894aa58e0f4d9,771,0.7974117398262024
72b059d86956ec93bbe2ae5a6622f4bd,734,0.7508390545845032
814ed433f7b89cef654140214dfdaab5,695,0.7618047595024109
ecff24c1d93157b5c20fd73bb31faced,667,0.7497397065162659
8585a77eaebc91282b433359863cb569,619,0.7858224511146545
0ab410a4baf435f5b6496cb061c11dc1,608,0.7818824648857117
2b28f4772c30b8544c742f6a349a06b3,574,0.7686908841133118
83fb64f0af37f88a42f311549fb261cb,557,0.7493302226066589
841c8877534da01768696cd2375bab70,506,0.7352253198623657
19125833f147d19800e3aa39ecfc76c2,480,0.7418360114097595
82462c11b65faedd60ec94210debc584,453,0.7628545165061951
dab681fd76ae76e9421f7378ed0ed11d,403,0.7868227958679199
fbf269b6cc339b080853c548156a1050,364,0.7591156363487244
c6342df4744ae61888fa993d281972d7,357,0.7419230937957764
b5512b7b61119e0a76d1f6b3bd6d2b94,346,0.7695527672767639
856a563554cc6f5b2bac63e3e8ff10b5,336,0.7853378057479858
1199c4654170f33208d7932d7d2587a5,334,0.7654772400856018
9e3e1aff5fca5f418e5e3679ff932c05,248,0.7954670190811157
64fe11119537f0ea81cfb5e4d54b3c71,236,0.7320150136947632
f38776a72637f9103f9229c5f2c92e41,231,0.765911877155304
12ba81fb3ad68ad5b21e4cec7be42666,194,0.7040500044822693
c7d17d4d3b51ccfb89c4c0f40ae87262,165,0.7024038434028625
b6f318187d9a7cf416a2e84fc24349aa,158,0.7819623947143555
2deec110140f47a0a9b9fddf744f956e,157,0.8268523216247559
23ee17885f87575534b44d099507a747,147,0.7516524195671082
58f1ddb77bfc5576db30fa20e53111fa,145,0.7818632125854492
77c9c3bb3736bf7ba3a3d36b532f6962,142,0.767390787601471
44187dfef4ed2dd3669957cc9592514e,117,0.7459570169448853
9fa5c6beaf93259bc3dcd4ead2b3397f,114,0.7837468385696411
e89e92593584db62ee08a1502919819d,82,0.7834907174110413
a68b85f0e84cbac87f49f5483e16fb6d,81,0.7495079636573792
83668c24f1cbd74fb8e01a243e79a3a0,77,0.7567733526229858
c024d6d8b2a5878439b85d8146a91239,75,0.757781445980072
6b0fd0d9ed161e73775d02021a82eebc,69,0.7797369956970215
2637918fb4c6fbe3432dab045d841406,67,0.744304895401001
7b0b5e99f45560c0f83ee235d461ca04,62,0.748894989490509
7c3f3d05228e2ee51736f64757cfb385,60,0.7601199150085449
c5a37fdeb54701aa580971fcfe834201,51,0.7403289079666138
5b971cf50885d3dc973bfc30a389361f,39,0.7427447438240051
594c45bd75088c708c8acb043ca9b377,36,0.8026106357574463
9fd21872baa91cc0713a7ee1d29529ca,32,0.789246141910553
188ff8c06949a640ea5ac102e60941ec,30,0.8434172868728638
1d14b937ef24d01520848534952cee70,30,0.792373538017273
604b7f56f881d721455b0bd5815a7c88,25,0.7263919711112976
6d399e81b6d56cdf82bed9c5b35a1885,21,0.7384092807769775
d2d96e58ef034b572fcf4e8c6d663b84,15,0.7955752015113831
ab493384339108f4d90b1ae4d5a5ee3d,12,0.8770865201950073
24ba242c5b46bb809b6ce85d8c6253e3,5,0.8067377209663391
2f31c28c89277ed7b750018066a28b35,4,0.8529571890830994
1fcbc792419d9edeed509ae4f390777d,3,0.9531908631324768
f08f67db51ee90dabdbcecddebbaf68f,2,0.9480375051498413
2e556f733e5e696b332938be598b68de,1,1.0002710819244385
a2c7889c9b8e05ec019b2923c4670302,1,1.00030517578125
f73f5bb4371910a73adda7055c3bf9cc,1,0.9996563196182251
