dataset,text_method,graph_method,quadrant,count,ratio,comparison
pog,text_centroid_similarity,graph_conditional_binary,both_hit,87,0.02175,text_vs_graph_conditional
pog,text_centroid_similarity,graph_conditional_binary,text_only,28,0.007,text_vs_graph_conditional
pog,text_centroid_similarity,graph_conditional_binary,graph_only,2953,0.73825,text_vs_graph_conditional
pog,text_centroid_similarity,graph_conditional_binary,both_miss,932,0.233,text_vs_graph_conditional
pog_dense,text_centroid_similarity,graph_conditional_binary,both_hit,29,0.004883799259009768,text_vs_graph_conditional
pog_dense,text_centroid_similarity,graph_conditional_binary,text_only,19,0.0031997305490063994,text_vs_graph_conditional
pog_dense,text_centroid_similarity,graph_conditional_binary,graph_only,4523,0.7617042775345234,text_vs_graph_conditional
pog_dense,text_centroid_similarity,graph_conditional_binary,both_miss,1367,0.23021219265746043,text_vs_graph_conditional
pog_dense,text_centroid_similarity,lightgcn_bi_category_similarity,both_hit,7,0.0011788480970023577,text_vs_lightgcn_bi
pog_dense,text_centroid_similarity,lightgcn_bi_category_similarity,text_only,41,0.00690468171101381,text_vs_lightgcn_bi
pog_dense,text_centroid_similarity,lightgcn_bi_category_similarity,graph_only,1138,0.19164701919838328,text_vs_lightgcn_bi
pog_dense,text_centroid_similarity,lightgcn_bi_category_similarity,both_miss,4752,0.8002694509936006,text_vs_lightgcn_bi
pog_dense,lightgcn_bi_category_similarity,graph_conditional_binary,both_hit,976,0.16436510609632873,lightgcn_bi_vs_graph_conditional
pog_dense,lightgcn_bi_category_similarity,graph_conditional_binary,text_only,169,0.02846076119905692,lightgcn_bi_vs_graph_conditional
pog_dense,lightgcn_bi_category_similarity,graph_conditional_binary,graph_only,3576,0.6022229706972044,lightgcn_bi_vs_graph_conditional
pog_dense,lightgcn_bi_category_similarity,graph_conditional_binary,both_miss,1217,0.2049511620074099,lightgcn_bi_vs_graph_conditional
