dataset,split,n,llm_hit_rate,input_gt_top1_rate,input_gt_top3_rate,input_gt_mrr,input_gt_rank_mean,input_gt_sim_mean,input_neg_sim_mean,input_neg_sim_max_mean,input_gt_margin_vs_neg_mean_mean,input_gt_margin_vs_best_neg_mean,pred_is_input_semantic_top1_rate,pred_input_rank_mean,pairmean_gt_top1_rate,pairmean_gt_rank_mean,pairmean_gt_margin_vs_best_neg_mean,pairmax_gt_top1_rate,pairmax_gt_rank_mean,pairmax_gt_margin_vs_best_neg_mean,gt_to_distractor_sim_mean,gt_to_distractor_sim_max_mean
pog,all,250,0.328,0.132,0.344,0.3279492063492063,5.088,0.43406988310813904,0.4208691964745522,0.5521920310854912,0.013200686633586884,-0.11812214803695678,0.16,4.492,0.132,5.088,-0.10882880830764771,0.132,5.156,-0.1395649483203888,0.3838041940927506,0.5299022755622864
pog,llm_hit,82,1.0,0.2804878048780488,0.5609756097560976,0.4772164150212931,3.817073170731707,0.47336113780010036,0.41714205901797224,0.5437048986190702,0.056219078782128125,-0.0703437610006914,0.2804878048780488,3.817073170731707,0.2804878048780488,3.817073170731707,-0.06412365360230934,0.25609756097560976,3.841463414634146,-0.08720991324360777,0.3835450051034369,0.5268202504006828
pog,llm_miss,168,0.0,0.05952380952380952,0.23809523809523808,0.2550925925925926,5.708333333333333,0.4148920087942055,0.4226883945188352,0.5563345600274348,-0.007796385724629674,-0.14144255123322919,0.10119047619047619,4.821428571428571,0.05952380952380952,5.708333333333333,-0.1306491814376343,0.07142857142857142,5.7976190476190474,-0.16511919163167477,0.38393070300420123,0.5314065973673548
pog_dense,all,250,0.336,0.072,0.284,0.26855555555555555,5.648,0.4557728004455566,0.46047894167900083,0.5754528621435165,-0.004706141233444214,-0.1196800616979599,0.104,5.148,0.072,5.648,-0.0993281524181366,0.06,5.86,-0.1632384227514267,0.38290220135450365,0.5152123521566391
pog_dense,llm_hit,84,1.0,0.11904761904761904,0.40476190476190477,0.3335128495842782,5.023809523809524,0.4775363551009269,0.4587877066362472,0.5667628074685732,0.018748648464679718,-0.08922645236764636,0.11904761904761904,5.023809523809524,0.11904761904761904,5.023809523809524,-0.0745939090847969,0.10714285714285714,5.142857142857143,-0.12495684659197218,0.37975650777419406,0.5077640251034782
pog_dense,llm_miss,166,0.0,0.04819277108433735,0.22289156626506024,0.23568559954102125,5.963855421686747,0.44475991736693554,0.46133474736328584,0.5798502392079457,-0.0165748299963503,-0.13509032184101014,0.0963855421686747,5.210843373493976,0.04819277108433735,5.963855421686747,-0.11184427555066993,0.03614457831325301,6.22289156626506,-0.18260982273572898,0.38449399810598556,0.5189813851232988
spotify,all,250,0.82,0.72,0.892,0.8144555555555555,1.78,0.5416469662189484,0.4051157968044281,0.49022282552719115,0.13653116941452026,0.0514241406917572,0.728,1.64,0.72,1.78,0.03812275779247284,0.656,1.9,0.05896379685401917,0.28702953827381134,0.36703905087709426
spotify,llm_hit,205,1.0,0.8097560975609757,0.9512195121951219,0.8807375145180023,1.4146341463414633,0.5553970568063783,0.4008645847076323,0.4836823813798951,0.15453247209874596,0.07171467542648316,0.8097560975609757,1.4146341463414633,0.8097560975609757,1.4146341463414633,0.05262878013820183,0.7365853658536585,1.5658536585365854,0.07759014440745843,0.2869619880507632,0.3657054991983786
spotify,llm_miss,45,0.0,0.3111111111111111,0.6222222222222222,0.5125044091710758,3.4444444444444446,0.47900766465399003,0.4244824296898312,0.5200181821982066,0.0545252349641588,-0.04101051754421658,0.35555555555555557,2.6666666666666665,0.3111111111111111,3.4444444444444446,-0.027960232893625894,0.28888888888888886,3.422222222222222,-0.025889564222759672,0.2873372670676973,0.3731141196356879
spotify_sparse,all,250,0.82,0.728,0.896,0.8218142857142857,1.7,0.5552648457288742,0.39813726210594175,0.4893530901670456,0.15712758362293244,0.06591175556182861,0.728744939271255,1.6680161943319838,0.728,1.7,0.05016780585050583,0.664,1.804,0.06730426979064942,0.2861407895684242,0.3737777445316315
spotify_sparse,llm_hit,205,1.0,0.8146341463414634,0.926829268292683,0.8790301974448315,1.4439024390243902,0.5694111393719185,0.39377683691862153,0.4840136987407033,0.17563430245329695,0.08539744063121517,0.8146341463414634,1.4439024390243902,0.8146341463414634,1.4439024390243902,0.06455942872093945,0.7268292682926829,1.5951219512195123,0.08714638119790612,0.2858857545183926,0.3728001610534947
spotify_sparse,llm_miss,45,0.0,0.3333333333333333,0.7555555555555555,0.5611640211640211,2.8666666666666667,0.4908206191327837,0.4180014212926229,0.5136769844426049,0.07281919784016079,-0.022856365309821235,0.30952380952380953,2.761904761904762,0.3333333333333333,2.8666666666666667,-0.015394031670358447,0.37777777777777777,2.7555555555555555,-0.023087571064631145,0.28730261590745715,0.37823118037647674
