method,signal,gt_cf_group,pred_cf_group,n,accuracy,mean_gt_avg_rank,mean_pred_avg_rank,mean_top_tie_size
base,cooccurrence,gt_not_top,pred_not_top,33,0.21212121212121213,5.9393939393939394,6.212121212121212,1.393939393939394
base,cooccurrence,gt_not_top,pred_top,7,0.0,5.785714285714286,1.2857142857142858,1.5714285714285714
base,cooccurrence,gt_top,pred_not_top,70,0.0,1.0357142857142858,5.7785714285714285,1.0714285714285714
base,cooccurrence,gt_top,pred_top,140,0.55,3.8142857142857145,3.8142857142857145,6.628571428571429
co_occer_cf,cooccurrence,gt_not_top,pred_not_top,1,0.0,6.0,6.0,1.0
co_occer_cf,cooccurrence,gt_not_top,pred_top,39,0.0,5.910256410256411,1.2179487179487178,1.435897435897436
co_occer_cf,cooccurrence,gt_top,pred_top,210,0.6619047619047619,2.888095238095238,2.888095238095238,4.776190476190476
user_prefer_cf,cooccurrence,gt_not_top,pred_not_top,33,0.2727272727272727,5.924242424242424,5.787878787878788,1.3636363636363635
user_prefer_cf,cooccurrence,gt_not_top,pred_top,7,0.0,5.857142857142857,1.3571428571428572,1.7142857142857142
user_prefer_cf,cooccurrence,gt_top,pred_not_top,64,0.0,1.109375,5.875,1.21875
user_prefer_cf,cooccurrence,gt_top,pred_top,146,0.589041095890411,3.6678082191780823,3.6678082191780823,6.335616438356165
base,user_pref,gt_not_top,pred_not_top,53,0.33962264150943394,5.886792452830188,5.7924528301886795,1.1320754716981132
base,user_pref,gt_not_top,pred_top,10,0.0,5.85,1.2,1.4
base,user_pref,gt_top,pred_not_top,21,0.0,1.0714285714285714,5.976190476190476,1.1428571428571428
base,user_pref,gt_top,pred_top,166,0.39759036144578314,4.981927710843373,4.981927710843373,8.963855421686747
co_occer_cf,user_pref,gt_not_top,pred_not_top,56,0.5,5.821428571428571,5.982142857142857,1.125
co_occer_cf,user_pref,gt_not_top,pred_top,7,0.0,6.357142857142857,1.2857142857142858,1.5714285714285714
co_occer_cf,user_pref,gt_top,pred_not_top,7,0.0,1.0714285714285714,6.071428571428571,1.1428571428571428
co_occer_cf,user_pref,gt_top,pred_top,180,0.6166666666666667,4.677777777777778,4.677777777777778,8.355555555555556
user_prefer_cf,user_pref,gt_not_top,pred_not_top,29,0.41379310344827586,5.948275862068965,5.482758620689655,1.1724137931034482
user_prefer_cf,user_pref,gt_not_top,pred_top,34,0.0,5.823529411764706,1.088235294117647,1.1764705882352942
user_prefer_cf,user_pref,gt_top,pred_not_top,2,0.0,1.25,4.25,1.5
user_prefer_cf,user_pref,gt_top,pred_top,185,0.4486486486486487,4.578378378378378,4.578378378378378,8.156756756756756
