hit1_view,bundle_id,true_indice,true_option_char,best_other_rank,best_other_margin,worst_other_rank,candidate_indices,true_rank_IBxBI,ranking_IBxBI,prediction_IBxBI,true_rank_IUxUI,ranking_IUxUI,prediction_IUxUI,true_rank_BIxIB,ranking_BIxIB,prediction_BIxIB
IBxBI,24839,15898,G,5,4,8,"[14130, 22303, 25962, 648, 11274, 24729, 15898, 25486, 25453, 15704]",1,"[""G"", ""I"", ""A"", ""F"", ""J"", ""E"", ""C"", ""D"", ""B"", ""H""]",G,8,"[""E"", ""I"", ""J"", ""A"", ""D"", ""F"", ""B"", ""G"", ""C"", ""H""]",E,5,"[""A"", ""I"", ""J"", ""E"", ""G"", ""C"", ""D"", ""F"", ""B"", ""H""]",A
IBxBI,8502,4946,B,4,3,9,"[14324, 4946, 10683, 14413, 12255, 7994, 11761, 23804, 17033, 25995]",1,"[""B"", ""F"", ""A"", ""D"", ""G"", ""E"", ""H"", ""I"", ""C"", ""J""]",B,9,"[""C"", ""H"", ""I"", ""G"", ""F"", ""A"", ""D"", ""E"", ""B"", ""J""]",C,4,"[""I"", ""C"", ""H"", ""B"", ""F"", ""G"", ""A"", ""D"", ""E"", ""J""]",I
IBxBI,17881,30641,E,4,3,9,"[1593, 11245, 5850, 25157, 30641, 6315, 1197, 17414, 15628, 18736]",1,"[""E"", ""H"", ""B"", ""A"", ""C"", ""D"", ""I"", ""J"", ""G"", ""F""]",E,9,"[""D"", ""B"", ""A"", ""C"", ""H"", ""G"", ""J"", ""I"", ""E"", ""F""]",D,4,"[""A"", ""C"", ""D"", ""E"", ""J"", ""B"", ""I"", ""G"", ""H"", ""F""]",A
IBxBI,12057,18154,E,4,3,7,"[9482, 12568, 14650, 126, 18154, 25834, 19751, 8900, 6531, 6309]",1,"[""E"", ""C"", ""F"", ""H"", ""A"", ""D"", ""B"", ""G"", ""J"", ""I""]",E,4,"[""D"", ""B"", ""I"", ""E"", ""J"", ""G"", ""A"", ""C"", ""F"", ""H""]",D,7,"[""F"", ""A"", ""H"", ""C"", ""B"", ""I"", ""E"", ""D"", ""J"", ""G""]",F
IBxBI,29193,13625,J,4,3,5,"[20261, 15021, 15579, 24972, 1440, 28930, 12252, 27338, 30316, 13625]",1,"[""J"", ""A"", ""E"", ""F"", ""C"", ""G"", ""D"", ""I"", ""B"", ""H""]",J,5,"[""A"", ""F"", ""C"", ""I"", ""J"", ""G"", ""B"", ""E"", ""D"", ""H""]",A,4,"[""C"", ""I"", ""G"", ""J"", ""D"", ""B"", ""E"", ""A"", ""F"", ""H""]",C
IUxUI,14060,17183,I,8,7,10,"[10199, 17691, 16545, 29039, 27129, 21906, 27382, 20403, 17183, 11570]",10,"[""A"", ""D"", ""G"", ""B"", ""H"", ""C"", ""F"", ""J"", ""E"", ""I""]",A,1,"[""I"", ""G"", ""B"", ""J"", ""A"", ""H"", ""F"", ""D"", ""C"", ""E""]",I,8,"[""B"", ""G"", ""J"", ""A"", ""H"", ""D"", ""F"", ""I"", ""C"", ""E""]",B
IUxUI,3941,18922,G,4,3,7,"[893, 214, 15213, 28156, 17053, 2092, 18922, 22038, 15597, 29333]",7,"[""D"", ""B"", ""C"", ""A"", ""E"", ""I"", ""G"", ""J"", ""H"", ""F""]",D,1,"[""G"", ""A"", ""C"", ""D"", ""E"", ""F"", ""B"", ""I"", ""H"", ""J""]",G,4,"[""C"", ""D"", ""I"", ""G"", ""B"", ""A"", ""E"", ""F"", ""H"", ""J""]",C
IUxUI,11363,12577,C,4,3,4,"[19334, 26240, 12577, 26636, 12086, 6146, 8314, 27542, 28558, 945]",4,"[""G"", ""F"", ""D"", ""C"", ""B"", ""A"", ""H"", ""I"", ""J"", ""E""]",G,1,"[""C"", ""F"", ""D"", ""G"", ""J"", ""B"", ""A"", ""I"", ""H"", ""E""]",C,4,"[""D"", ""F"", ""G"", ""C"", ""J"", ""A"", ""B"", ""I"", ""H"", ""E""]",D
IUxUI,21923,23702,C,3,2,4,"[14663, 23386, 23702, 17583, 30025, 23752, 22265, 7662, 3402, 18440]",3,"[""J"", ""B"", ""C"", ""H"", ""I"", ""A"", ""D"", ""E"", ""F"", ""G""]",J,1,"[""C"", ""J"", ""A"", ""B"", ""E"", ""H"", ""I"", ""G"", ""D"", ""F""]",C,4,"[""B"", ""A"", ""J"", ""C"", ""H"", ""I"", ""E"", ""D"", ""G"", ""F""]",B
IUxUI,2287,8355,H,3,2,4,"[6980, 4898, 20633, 2965, 20142, 5625, 8908, 8355, 8542, 28594]",3,"[""F"", ""E"", ""H"", ""B"", ""A"", ""D"", ""I"", ""J"", ""G"", ""C""]",F,1,"[""H"", ""A"", ""E"", ""F"", ""I"", ""J"", ""D"", ""B"", ""C"", ""G""]",H,4,"[""F"", ""I"", ""J"", ""H"", ""B"", ""E"", ""D"", ""A"", ""C"", ""G""]",F
BIxIB,11208,12800,D,8,7,9,"[16366, 879, 15382, 12800, 17810, 8933, 9552, 21513, 5579, 29465]",8,"[""C"", ""A"", ""H"", ""I"", ""F"", ""E"", ""B"", ""D"", ""J"", ""G""]",C,9,"[""C"", ""A"", ""F"", ""H"", ""I"", ""J"", ""B"", ""E"", ""D"", ""G""]",C,1,"[""D"", ""E"", ""J"", ""A"", ""C"", ""B"", ""F"", ""H"", ""I"", ""G""]",D
BIxIB,25705,17003,G,5,4,9,"[11883, 10160, 3579, 9610, 24965, 1288, 17003, 19669, 30629, 24976]",9,"[""A"", ""C"", ""F"", ""D"", ""I"", ""H"", ""B"", ""E"", ""G"", ""J""]",A,5,"[""D"", ""I"", ""F"", ""C"", ""G"", ""A"", ""E"", ""B"", ""H"", ""J""]",D,1,"[""G"", ""C"", ""A"", ""B"", ""H"", ""J"", ""E"", ""F"", ""I"", ""D""]",G
BIxIB,23538,22013,B,5,4,9,"[2425, 22013, 25422, 468, 29939, 26949, 17903, 2267, 2060, 27962]",9,"[""G"", ""J"", ""D"", ""A"", ""F"", ""I"", ""E"", ""H"", ""B"", ""C""]",G,5,"[""J"", ""C"", ""G"", ""I"", ""B"", ""E"", ""F"", ""A"", ""D"", ""H""]",J,1,"[""B"", ""G"", ""I"", ""E"", ""C"", ""D"", ""J"", ""F"", ""H"", ""A""]",B
BIxIB,23312,27238,C,4,3,10,"[9229, 3670, 27238, 30656, 17868, 2304, 15888, 13704, 238, 23020]",4,"[""J"", ""I"", ""H"", ""C"", ""E"", ""A"", ""F"", ""G"", ""B"", ""D""]",J,10,"[""E"", ""H"", ""I"", ""J"", ""A"", ""D"", ""B"", ""F"", ""G"", ""C""]",E,1,"[""C"", ""H"", ""J"", ""I"", ""A"", ""D"", ""E"", ""B"", ""F"", ""G""]",C
BIxIB,27603,3116,D,3,2,6,"[6290, 316, 23531, 3116, 13986, 3559, 27382, 1900, 30596, 20457]",3,"[""C"", ""I"", ""D"", ""E"", ""H"", ""G"", ""J"", ""F"", ""A"", ""B""]",C,6,"[""J"", ""G"", ""I"", ""C"", ""A"", ""D"", ""E"", ""F"", ""H"", ""B""]",J,1,"[""D"", ""I"", ""H"", ""C"", ""A"", ""G"", ""B"", ""J"", ""F"", ""E""]",D
